name	category	relevance	country_iso	x	y
Mawangdui	Archaeological Site	58	CN	1.3199858933795376	-2.0215396361429647
Potala	Palace	58	CN	1.0784514760514383	-1.7388338191340544
Zhongguancun	Building	60	CN	0.9781233893781518	-2.1163282601806523
Periquito	Church	52	CO	0.39962180886951476	0.5426899892349204
Evangelio	Church	364	CO	0.8246401185851666	1.0100338639479618
Castillo San Felipe de Barajas	Castle	136	CO	0.31290222516603433	0.6759913973125787
Catedral de Sal	Museum	146	CO	0.5129020205387826	0.696388095602348
Iglesia Pentecostal Unida de Colombia	Church	63	CO	0.48707961472864225	0.6024965186482408
Nuestra Señora de Lourdes	Church	383	CO	0.800758247793982	1.084475287004595
Fátima	Church	102	CO	0.3967069359538845	0.6424116352626127
San Lorenzo	Church	191	CO	0.5255083305248369	0.7817304147151729
Ciudad Perdida	Archaeological Site	118	CO	0.2815319260118533	0.6234757575817791
El Capitolio	Building	196	CU	-0.06617919982452244	0.8019819167855139
Theotókos	Church	476	CY	0.9899143827461558	-0.3363316003285862
Pergamon	Archaeological Site	409	CY	0.8884776849912395	-0.4552056883206619
Odeon	Amphitheater	71	CY	0.4099664949061025	-0.9656026881178631
Svatý Vojtěch	Church	102	CZ	-0.15697062196332504	-0.7592235757194208
Ruda	Building	55	CZ	-0.23737591082041407	-0.8409198373126143
Nové Zámky	Building	63	CZ	-0.21508547086263655	-0.843748550897411
Karlštejn	Castle	87	CZ	-0.21285143925013358	-0.769454915495646
Dolní Věstonice	Archaeological Site	59	CZ	-0.19756615983536974	-0.841170662172036
Národní muzeum	Museum	128	CZ	-0.1560702642764306	-0.7088344864949501
Pražský hrad	Castle	160	CZ	-0.11060420716172467	-0.6581602157727787
Parlament České republiky	Palace	127	CZ	-0.15808367813703672	-0.7101027475164372
Vyšehrad	Castle	124	CZ	-0.16147789351957856	-0.7148915478861215
Konopiště	Castle	52	CZ	-0.25398826152952325	-0.8299472046586273
Obecní dům	Building	64	CZ	-0.24854766370041845	-0.8094775005701872
Vila Tugendhat	Building	94	CZ	-0.15776464541332488	-0.7871773270705696
St. Vitus Cathedral	Church	342	CZ	0.1514883481228163	-0.3719846536938067
Wolfsburg	Building	53	DE	-0.3467636027656797	-0.7710284330149758
Werder	Building	52	DE	-0.414231728387089	-0.8385166746403232
Walhalla	Monument	152	DE	-0.10790011445708919	-0.6370927859659256
Waldeck	Building	141	DE	-0.14531462174286333	-0.6208712522775172
Waidmannsheil	Building	94	DE	-0.24179225467566084	-0.7279761552383704
Burg Vischering	Castle	66	DE	-0.361858208284757	-0.7217472365988372
Teck	Castle	85	DE	-0.21492613985586614	-0.7039971314589338
Salzburg	Castle	67	DE	-0.2891722622364783	-0.7503225015613924
Pfalz	Castle	130	DE	-0.21294159389400774	-0.617571168660118
Schloss Neuschwanstein	Castle	1400	DE	1.7232404857380703	1.3516156576949867
Neues Palais	Castle	161	DE	-0.19508755233629105	-0.6489296494476424
Kreuzberg	Building	357	DE	0.15353265232092075	-0.28033277791210043
Burg Hohenzollern	Castle	496	DE	0.3809586590441665	-0.04984993855248447
Heiligenhaus	Building	87	DE	-0.23327921241968708	-0.7045205789433912
Heidelberg	Building	80	DE	-0.34027280910905827	-0.7702530309599229
Burg Hülshoff	Castle	57	DE	-0.3804660018954091	-0.7375998091835265
Externsteine	Archaeological Site	352	DE	0.06029182409349765	-0.29194872820658757
Schloss Elmau	Castle	187	DE	-0.01683749168487756	-0.5611101502647408
